"","Location","Total Expenditures","Expenditures per Capita","Total Operating Expenditures per Visit","Total Operating Expenditures per Open Hour","Total Operating Expenditures per Circulation","% Operating Expenditures on Staff","% of Operating Expenditures on Collection","% of Collection Expenditures on Print Materials","% of Collection Expenditures on Electronic Materials","% of Collection Expenditures on Serial Subscriptions","% of Collection Expenditures on Other Materials"
"29","CARLSBAD CITY LIBRARY",11215107,97.09965,554.81879,5137.47458,0,0.622382,0.0669004,0.4049501,0.3671702,0.1241352,0.1037445
"30","GLENDALE LIBRARY, ARTS & CULTURE",11055510,53.47321,614.68859,8269.84674,0,0.6581786,0.0869557,0.4882278,0.454082,0,0.0576902
"31","ANAHEIM PUBLIC LIBRARY",10692516,30.08623,86.16041,1938.48359,0,0.6365304,0.059469,0.6511201,0.2764617,0.0194632,0.052955
"32","SUNNYVALE PUBLIC LIBRARY",9943320,64.63963,249.78823,20544.04959,0,0.5671787,0.078295,0.3009215,0.5875478,0.0157557,0.095775
"33","REDWOOD CITY PUBLIC LIBRARY",9884633,113.92434,335.16278,14838.38379,0,0.7024769,0.0533476,0.3541407,0.4522842,0.0243384,0.1692367
"34","BELVEDERE-TIBURON LIBRARY",9869455,218.79882,0,0,0,0.7451928,0.0685418,0.4938713,0.2800907,0.0933829,0.1326551
"35","VENTURA COUNTY LIBRARY",9586193,38.61317,6057.92742,548.38331,0,0.6562882,0.0931409,0.6746574,0.2306724,0.0253778,0.0692924
"36","SANTA CLARA CITY LIBRARY",9566788,72.15602,197.91703,5579.01301,0,0.6368898,0.0940208,0.4246705,0.4819544,0.037709,0.0556661
"37","MONTEREY COUNTY FREE LIBRARIES",9523396,40.61335,942.04484,8602.03604,0,0.6191257,0.0358849,0.7204779,0.1974461,0.0299196,0.0521565
"38","NEWPORT BEACH PUBLIC LIBRARY",8800042,102.48695,74.98779,2607.41985,0,0.6505687,0.0855433,0.3059107,0.5949268,0.047922,0.0512404
"39","SANTA MONICA PUBLIC LIBRARY",8651379,92.7823,879.28491,75664.7807,0,0.8016744,0.0863172,0.3960559,0.4884871,0.0470496,0.0684074
"40","PALO ALTO CITY LIBRARY",8517121,125.88677,87.33449,18515.48043,0,0.7612424,0.0752966,0.2707177,0.583345,0.0206234,0.1253138
"41","NAPA COUNTY LIBRARY",8386340,63.55552,85.09794,1100.23803,0,0.6652318,0.0875848,0.3535905,0.2758713,0.033688,0.3368502
"42","PALOS VERDES LIBRARY DISTRICT",8291640,119.44941,153.76001,1275.55043,0,0.7518843,0.0583826,0.3146225,0.5772616,0.0649038,0.0432121
"43","PLACER COUNTY LIBRARY",7704102,38.19831,132.42977,2825.11991,0,0.6158636,0.0580554,0.4842431,0.338513,0.0404727,0.1367713
"44","RIVERSIDE PUBLIC LIBRARY",7512836,23.16617,542.28642,2727.9724,0,0.5061549,0.0405045,0.4107734,0.3562162,0.0098586,0.2231518
"45","THOUSAND OAKS LIBRARY",7357251,57.48601,332.11608,31348.86957,0,0.7032802,0.1123416,0.3093468,0.616327,0.0250762,0.04925
